Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
5.666666666666666963e+00,2.841740012046594757e+02,3.526208031904017730e+02,5.548646260299522348e-01,2.857605737234811158e+02,1.126398936532738287e-01
5.700000000000000178e+00,2.857605737234811158e+02,3.524866598383382552e+02,5.477887151157490031e-01,2.871801546183721143e+02,1.171113387220577423e-01
5.733333333333333393e+00,2.871801546183721143e+02,3.523677242981133872e+02,5.414002559333761511e-01,2.884387978386997133e+02,1.210758567295533300e-01
5.766666666666666607e+00,2.884387978386997133e+02,3.522624831656548281e+02,5.356240267837335534e-01,2.895525190831496616e+02,1.245838944781719609e-01
5.799999999999999822e+00,2.895525190831496616e+02,3.521692410679104341e+02,5.303941596214416521e-01,2.905392597491710376e+02,1.276919644029850809e-01
5.833333333333333037e+00,2.905392597491710376e+02,3.520864149834782779e+02,5.256530984531081474e-01,2.914157722654442750e+02,1.304528338840569290e-01
5.866666666666666252e+00,2.914157722654442750e+02,3.520126225957030783e+02,5.213504454037026781e-01,2.921966850893945775e+02,1.329125801432337883e-01
5.900000000000000355e+00,2.921966850893945775e+02,3.519466875481250554e+02,5.174419058255548265e-01,2.928944470910564633e+02,1.351104150624976852e-01
5.933333333333333570e+00,2.928944470910564633e+02,3.518876162180316101e+02,5.138883880350151312e-01,2.935195733485004439e+02,1.370794593989458354e-01
5.966666666666666785e+00,2.935195733485004439e+02,3.518345684503294137e+02,5.106552543562686841e-01,2.940809548585658604e+02,1.388477183223523759e-01
6.000000000000000000e+00,2.940809548585658604e+02,3.517868304117727121e+02,5.077117020603363340e-01,3.500000000000000000e+02,0.000000000000000000e+00
6.033333333333333215e+00,3.500000000000000000e+02,3.560262282486385175e+02,5.020460380654185872e-01,3.238004007748052118e+02,2.324590583787152498e-01
6.066666666666666430e+00,3.238004007748052118e+02,3.593179171378002934e+02,4.906081392377076855e-01,2.889658854067497487e+02,1.227360954066564480e-01
6.099999999999999645e+00,2.889658854067497487e+02,3.607891913267844757e+02,4.755168876878368978e-01,2.733960289979189042e+02,7.369362244051722022e-02
6.133333333333332860e+00,2.733960289979189042e+02,3.613184469339103089e+02,4.597516688230811610e-01,2.677951465327631695e+02,5.605176886965766714e-02
6.166666666666666963e+00,2.677951465327631695e+02,3.613284923825007127e+02,4.449731269841562531e-01,2.676888399086913068e+02,5.571692058330938307e-02
6.200000000000000178e+00,2.676888399086913068e+02,3.610788742434150436e+02,4.319216826557678024e-01,2.703304403742624800e+02,6.403752521949832022e-02
